anchor_type	orthogroup	cluster_index	modal_species_support_n	modal_species	represented_ge8_species	segment_positive_species_n	segment_positive_species	median_anchor_relative_position	sample_variance	qualifying_unit
start	orthogroup_1009	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1009	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1009	3	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_000017885.4	-0.5		0
start	orthogroup_1009	4	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCF_034478925.1	-1.0		0
start	orthogroup_1009	5	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000025805.1	18.0		0
start	orthogroup_1009	6	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCF_000011245.1;GCF_005671335.1	-20.5	0.5	0
start	orthogroup_1009	7	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1009	8	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1009	9	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1009	10	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCA_000025805.1;GCF_006094295.1	21.5	24.5	0
start	orthogroup_1010	1	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	2	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	3	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	4	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	5	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	6	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1010	8	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000025805.1	-11.0		0
start	orthogroup_1010	9	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000011245.1;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	2	GCA_000025805.1;GCF_034478925.1	7.5	264.5	0
start	orthogroup_1012	1	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	2	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	3	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	4	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	1	GCA_000015785.2	8.0		0
start	orthogroup_1012	5	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	7	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	9	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	0				0
start	orthogroup_1012	11	8	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_034479305.1	1	1	GCF_005671335.1	56.0		0
start	orthogroup_1023	1	8	GCA_000015785.2;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	1	GCA_000015785.2	-3.0		0
start	orthogroup_1023	2	8	GCA_000015785.2;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1023	3	8	GCA_000015785.2;GCF_000009045.1;GCF_000011245.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	4	GCA_000015785.2;GCF_000009045.1;GCF_000011245.1;GCF_034479305.1	93.75	2891.0625	1
start	orthogroup_1027	2	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	3	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	4	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	5	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	7	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	8	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	9	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	1	GCF_000017885.4	-2.0		0
start	orthogroup_1027	10	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	11	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1027	12	7	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000017885.4;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	0	0				0
start	orthogroup_1032	1	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
start	orthogroup_1032	2	9	GCA_000015785.2;GCA_000025805.1;GCF_000009045.1;GCF_000009785.1;GCF_000017885.4;GCF_005671335.1;GCF_006094295.1;GCF_034478925.1;GCF_034479305.1	1	0				0
