orthogroup	accession	protein_id	sequence_id	observed_n_tmd	modal_n_tmd	matches_modal
orthogroup_18	GCA_000015785.2	ABS72472.1	orthogroup_18|GCA_000015785.2|ABS72472.1	3	3	1
orthogroup_18	GCA_000025805.1	ADF36989.1	orthogroup_18|GCA_000025805.1|ADF36989.1	3	3	1
orthogroup_18	GCF_000009045.1	NP_387904.2	orthogroup_18|GCF_000009045.1|NP_387904.2	3	3	1
orthogroup_18	GCF_000009785.1	WP_011229537.1	orthogroup_18|GCF_000009785.1|WP_011229537.1	3	3	1
orthogroup_18	GCF_000011245.1	WP_011064435.1	orthogroup_18|GCF_000011245.1|WP_011064435.1	3	3	1
orthogroup_18	GCF_000017885.4	WP_012009068.1	orthogroup_18|GCF_000017885.4|WP_012009068.1	3	3	1
orthogroup_18	GCF_005671335.1	WP_041821049.1	orthogroup_18|GCF_005671335.1|WP_041821049.1	3	3	1
orthogroup_18	GCF_006094295.1	WP_001089273.1	orthogroup_18|GCF_006094295.1|WP_001089273.1	3	3	1
orthogroup_18	GCF_034478925.1	WP_003178144.1	orthogroup_18|GCF_034478925.1|WP_003178144.1	3	3	1
orthogroup_18	GCF_034479305.1	WP_094424376.1	orthogroup_18|GCF_034479305.1|WP_094424376.1	3	3	1
orthogroup_44	GCA_000015785.2	ABS72506.1	orthogroup_44|GCA_000015785.2|ABS72506.1	14	14	1
orthogroup_44	GCA_000025805.1	ADF37021.1	orthogroup_44|GCA_000025805.1|ADF37021.1	14	14	1
orthogroup_44	GCF_000009045.1	NP_387938.1	orthogroup_44|GCF_000009045.1|NP_387938.1	14	14	1
orthogroup_44	GCF_000009785.1	WP_011229565.1	orthogroup_44|GCF_000009785.1|WP_011229565.1	14	14	1
orthogroup_44	GCF_000011245.1	WP_011064467.1	orthogroup_44|GCF_000011245.1|WP_011064467.1	14	14	1
orthogroup_44	GCF_000017885.4	WP_012008660.1	orthogroup_44|GCF_000017885.4|WP_012008660.1	14	14	1
orthogroup_44	GCF_005671335.1	WP_053432327.1	orthogroup_44|GCF_005671335.1|WP_053432327.1	14	14	1
orthogroup_44	GCF_006094295.1	WP_000387599.1	orthogroup_44|GCF_006094295.1|WP_000387599.1	14	14	1
orthogroup_44	GCF_034478925.1	WP_011197469.1	orthogroup_44|GCF_034478925.1|WP_011197469.1	14	14	1
orthogroup_44	GCF_034479305.1	WP_169715914.1	orthogroup_44|GCF_034479305.1|WP_169715914.1	14	14	1
orthogroup_48	GCA_000015785.2	ABS72510.1	orthogroup_48|GCA_000015785.2|ABS72510.1	5	5	1
orthogroup_48	GCA_000025805.1	ADF37025.1	orthogroup_48|GCA_000025805.1|ADF37025.1	7	5	0
orthogroup_48	GCF_000009045.1	NP_387942.1	orthogroup_48|GCF_000009045.1|NP_387942.1	7	5	0
orthogroup_48	GCF_000009785.1	WP_011229569.1	orthogroup_48|GCF_000009785.1|WP_011229569.1	7	5	0
orthogroup_48	GCF_000011245.1	WP_011064471.1	orthogroup_48|GCF_000011245.1|WP_011064471.1	7	5	0
orthogroup_48	GCF_000017885.4	WP_012008662.1	orthogroup_48|GCF_000017885.4|WP_012008662.1	5	5	1
orthogroup_48	GCF_005671335.1	WP_010896259.1	orthogroup_48|GCF_005671335.1|WP_010896259.1	5	5	1
orthogroup_48	GCF_006094295.1	WP_000059772.1	orthogroup_48|GCF_006094295.1|WP_000059772.1	5	5	1
orthogroup_48	GCF_034478925.1	WP_011197471.1	orthogroup_48|GCF_034478925.1|WP_011197471.1	7	5	0
orthogroup_48	GCF_034479305.1	WP_094424332.1	orthogroup_48|GCF_034479305.1|WP_094424332.1	5	5	1
orthogroup_51	GCA_000015785.2	ABS72513.1	orthogroup_51|GCA_000015785.2|ABS72513.1	12	12	1
orthogroup_51	GCA_000025805.1	ADF37028.1	orthogroup_51|GCA_000025805.1|ADF37028.1	12	12	1
orthogroup_51	GCF_000009045.1	NP_387945.1	orthogroup_51|GCF_000009045.1|NP_387945.1	12	12	1
orthogroup_51	GCF_000009785.1	WP_011229572.1	orthogroup_51|GCF_000009785.1|WP_011229572.1	12	12	1
orthogroup_51	GCF_000011245.1	WP_011064476.1	orthogroup_51|GCF_000011245.1|WP_011064476.1	12	12	1
orthogroup_51	GCF_000017885.4	WP_012008664.1	orthogroup_51|GCF_000017885.4|WP_012008664.1	12	12	1
