accession	proteins_used	eligible_codon_positions	bottom_decile_rank	threshold	positions_below_threshold	positions_equal_threshold	positions_at_or_below_threshold	fraction_at_or_below_threshold
GCA_000015785.2	149	50033	5004	0.4410747301246496	4801	878	5679	0.11350508664281574
GCA_000025805.1	147	49159	4916	0.2958365547060676	4282	955	5237	0.10653186598588255
GCF_000009045.1	152	51405	5141	0.46799832670989333	4930	778	5708	0.11103978212236164
GCF_000009785.1	132	43621	4363	0.36053342944674716	4042	444	4486	0.10284037504871507
GCF_000011245.1	132	45371	4538	0.28935591435591435	3807	763	4570	0.10072513279407551
GCF_000017885.4	146	49352	4936	0.429077812529618	4733	795	5528	0.11201167125952342
GCF_005671335.1	142	48059	4806	0.49402271368798567	4710	1032	5742	0.11947814145113299
GCF_006094295.1	141	47613	4762	0.3244153594456741	4713	190	4903	0.10297607796190116
GCF_034478925.1	151	51117	5112	0.4747722940055073	5006	426	5432	0.10626601717628187
GCF_034479305.1	140	46751	4676	0.40958926285117214	4289	583	4872	0.10421167461658574
