orthogroup	total_clusters	qc_pass_clusters	sequences_checked_for_order	order_violations	topology_qualified
orthogroup_18	3	3	10	0	1
orthogroup_44	14	14	10	0	1
orthogroup_48	6	3	10	0	1
orthogroup_51	12	12	10	0	1
orthogroup_67	4	4	10	0	1
orthogroup_109	10	10	10	0	1
orthogroup_124	6	6	10	0	1
orthogroup_126	3	3	10	0	1
orthogroup_136	7	6	10	0	1
orthogroup_151	7	7	10	0	1
orthogroup_156	8	8	10	0	1
orthogroup_158	15	15	10	0	1
orthogroup_190	6	6	10	0	1
orthogroup_203	7	7	10	0	1
orthogroup_210	12	10	10	0	1
orthogroup_245	12	7	10	0	1
orthogroup_255	12	7	10	0	1
orthogroup_269	3	3	10	0	1
orthogroup_274	8	8	10	0	1
orthogroup_276	14	14	10	0	1
orthogroup_277	5	5	10	0	1
orthogroup_278	3	3	10	0	1
orthogroup_279	7	7	10	0	1
orthogroup_288	12	12	10	0	1
orthogroup_299	10	10	10	0	1
orthogroup_301	10	10	10	0	1
orthogroup_305	5	5	10	0	1
orthogroup_315	4	4	10	0	1
orthogroup_318	14	13	10	0	1
orthogroup_329	10	10	10	0	1
orthogroup_377	4	4	10	0	1
orthogroup_379	4	4	10	0	1
orthogroup_380	8	8	10	0	1
orthogroup_386	9	9	10	0	1
orthogroup_387	4	2	9	0	0
orthogroup_407	4	4	10	0	1
orthogroup_414	6	6	10	0	1
orthogroup_453	10	10	10	0	1
orthogroup_478	6	5	10	0	1
orthogroup_479	6	6	10	0	1
orthogroup_480	3	3	10	0	1
orthogroup_481	4	4	10	0	1
orthogroup_511	6	6	10	0	1
orthogroup_516	10	10	10	0	1
orthogroup_517	4	4	10	0	1
orthogroup_520	5	3	10	0	1
orthogroup_521	6	4	10	0	1
orthogroup_529	6	6	10	0	1
orthogroup_539	5	5	10	0	1
orthogroup_544	6	6	10	0	1
orthogroup_573	4	4	10	0	1
orthogroup_579	4	4	10	0	1
orthogroup_593	3	3	10	0	1
orthogroup_600	12	12	10	0	1
orthogroup_617	3	3	10	0	1
orthogroup_619	8	8	10	0	1
orthogroup_636	13	13	10	0	1
orthogroup_657	10	10	10	0	1
orthogroup_672	14	14	10	0	1
orthogroup_673	4	4	10	0	1
orthogroup_684	6	6	10	0	1
orthogroup_688	6	6	10	0	1
orthogroup_692	8	8	10	0	1
orthogroup_700	8	8	10	0	1
orthogroup_722	5	5	10	0	1
orthogroup_732	4	4	10	0	1
orthogroup_738	16	14	10	0	1
orthogroup_749	6	6	10	0	1
orthogroup_757	10	10	10	0	1
orthogroup_764	3	3	10	0	1
orthogroup_767	3	3	10	0	1
orthogroup_795	14	14	10	0	1
orthogroup_812	12	12	10	0	1
orthogroup_816	3	3	10	0	1
orthogroup_840	5	5	10	0	1
orthogroup_850	4	4	10	0	1
orthogroup_852	4	4	10	0	1
orthogroup_853	8	8	10	0	1
orthogroup_886	7	7	10	0	1
orthogroup_890	4	4	10	0	1
orthogroup_893	9	9	10	0	1
orthogroup_895	4	4	10	0	1
orthogroup_908	10	10	10	0	1
orthogroup_924	5	5	10	0	1
orthogroup_925	4	4	10	0	1
orthogroup_929	6	6	10	0	1
orthogroup_941	5	4	10	0	1
orthogroup_951	4	4	10	0	1
orthogroup_954	5	5	10	0	1
orthogroup_955	15	15	10	0	1
orthogroup_983	5	5	10	0	1
orthogroup_1009	10	10	9	0	1
orthogroup_1010	9	8	9	0	1
orthogroup_1012	11	8	9	0	1
orthogroup_1023	3	3	9	0	1
orthogroup_1027	12	10	9	0	1
orthogroup_1032	4	4	9	0	1
orthogroup_1038	6	6	9	0	1
orthogroup_1043	8	6	9	0	1
orthogroup_1046	3	2	9	0	0
orthogroup_1047	14	13	9	0	1
orthogroup_1052	6	5	9	0	1
orthogroup_1074	4	4	9	0	1
orthogroup_1117	12	12	9	0	1
orthogroup_1120	7	7	9	0	1
orthogroup_1125	5	5	9	0	1
orthogroup_1140	7	7	9	0	1
orthogroup_1141	7	7	9	0	1
orthogroup_1150	3	3	9	0	1
orthogroup_1152	3	3	9	0	1
orthogroup_1153	6	6	9	0	1
orthogroup_1172	3	2	9	0	0
orthogroup_1175	6	6	9	0	1
orthogroup_1176	4	4	9	0	1
orthogroup_1181	8	8	9	0	1
orthogroup_1188	10	10	9	0	1
orthogroup_1191	6	6	9	0	1
orthogroup_1192	4	4	9	0	1
orthogroup_1238	3	3	9	0	1
orthogroup_1241	10	10	9	0	1
orthogroup_1244	8	8	9	0	1
orthogroup_1253	14	14	8	0	1
orthogroup_1254	10	10	8	0	1
orthogroup_1260	3	2	8	0	0
orthogroup_1261	6	6	8	0	1
orthogroup_1267	6	6	8	0	1
orthogroup_1274	12	12	8	0	1
orthogroup_1279	6	6	8	0	1
orthogroup_1299	12	12	8	0	1
orthogroup_1336	5	5	8	0	1
orthogroup_1339	10	10	8	0	1
orthogroup_1354	6	6	8	0	1
orthogroup_1356	4	4	8	0	1
orthogroup_1366	4	4	8	0	1
orthogroup_1370	4	4	8	0	1
orthogroup_1372	5	5	8	0	1
orthogroup_1379	12	12	8	0	1
orthogroup_1386	7	7	8	0	1
orthogroup_1390	3	2	8	0	0
orthogroup_1398	12	12	8	0	1
orthogroup_1407	9	8	8	0	1
orthogroup_1411	10	9	8	0	1
orthogroup_1412	9	9	8	0	1
orthogroup_1416	9	8	8	0	1
orthogroup_1420	10	10	8	0	1
orthogroup_1423	5	5	8	0	1
orthogroup_1424	7	7	8	0	1
orthogroup_1427	4	4	8	0	1
orthogroup_1428	8	5	8	0	1
orthogroup_1433	6	6	8	0	1
orthogroup_1434	12	12	8	0	1
orthogroup_1441	6	6	8	0	1
orthogroup_1442	6	6	8	0	1
orthogroup_1444	12	12	8	0	1
orthogroup_1446	10	10	8	0	1
orthogroup_1450	10	10	8	0	1
orthogroup_1451	13	13	8	0	1
orthogroup_1455	7	6	8	0	1
