orthogroup	cluster_index	family_member_count	tmd_count	support_n	support_fraction	proteins_with_multiple_tmds_in_cluster	median_alignment_start	median_alignment_end	start_min	start_max	start_range	start_mad	end_min	end_max	end_range	end_mad
orthogroup_18	1	10	10	10	1.0	0	7.0	22.0	6	9	3	1.0	20	23	3	0.0
orthogroup_18	2	10	10	10	1.0	0	32.0	53.0	32	36	4	0.0	53	53	0	0.0
orthogroup_18	3	10	10	10	1.0	0	65.0	84.0	65	65	0	0.0	84	85	1	0.0
orthogroup_44	1	10	10	10	1.0	0	17.0	34.0	16	17	1	0.0	33	34	1	0.0
orthogroup_44	2	10	10	10	1.0	0	53.0	71.0	52	54	2	0.0	68	71	3	0.0
orthogroup_44	3	10	10	10	1.0	0	96.0	113.0	96	97	1	0.0	113	117	4	0.0
orthogroup_44	4	10	10	10	1.0	0	129.0	146.5	129	129	0	0.0	146	147	1	0.5
orthogroup_44	5	10	10	10	1.0	0	160.0	177.0	159	160	1	0.0	176	177	1	0.0
orthogroup_44	6	10	10	10	1.0	0	191.0	212.0	191	192	1	0.0	211	214	3	0.5
orthogroup_44	7	10	10	10	1.0	0	241.0	262.0	241	245	4	0.0	261	262	1	0.0
orthogroup_44	8	10	10	10	1.0	0	286.0	308.0	286	286	0	0.0	308	308	0	0.0
orthogroup_44	9	10	10	10	1.0	0	333.0	348.5	331	334	3	0.5	347	349	2	0.5
orthogroup_44	10	10	10	10	1.0	0	366.0	386.0	366	367	1	0.0	383	386	3	0.0
orthogroup_44	11	10	10	10	1.0	0	394.0	414.0	394	395	1	0.0	414	414	0	0.0
orthogroup_44	12	10	10	10	1.0	0	422.0	440.0	422	422	0	0.0	439	440	1	0.0
orthogroup_44	13	10	10	10	1.0	0	457.0	478.0	457	461	4	0.0	475	478	3	0.0
orthogroup_44	14	10	10	10	1.0	0	495.0	513.0	495	495	0	0.0	513	513	0	0.0
orthogroup_48	1	10	10	10	1.0	0	8.0	30.0	7	10	3	0.0	28	31	3	0.0
orthogroup_48	2	10	10	10	1.0	0	41.0	61.0	41	44	3	0.0	61	61	0	0.0
orthogroup_48	3	10	10	10	1.0	0	71.0	85.0	69	72	3	0.0	84	89	5	0.0
orthogroup_51	1	10	10	10	1.0	0	50.0	61.0	49	50	1	0.0	59	64	5	0.0
orthogroup_51	2	10	10	10	1.0	0	68.0	79.0	67	69	2	0.5	78	79	1	0.0
orthogroup_51	3	10	10	10	1.0	0	87.0	99.0	86	87	1	0.0	99	100	1	0.0
orthogroup_51	4	10	10	10	1.0	0	104.0	118.0	103	105	2	1.0	118	119	1	0.0
orthogroup_51	5	10	10	10	1.0	0	133.0	149.0	132	133	1	0.0	148	150	2	0.5
orthogroup_51	6	10	10	10	1.0	0	162.0	179.0	161	163	2	0.0	179	182	3	0.0
orthogroup_51	7	10	10	10	1.0	0	201.0	215.0	200	201	1	0.0	215	216	1	0.0
orthogroup_51	8	10	10	10	1.0	0	224.0	238.0	224	224	0	0.0	237	238	1	0.0
orthogroup_51	9	10	10	10	1.0	0	243.5	259.0	243	244	1	0.5	259	259	0	0.0
orthogroup_51	10	10	10	10	1.0	0	264.0	279.0	264	265	1	0.0	278	280	2	1.0
orthogroup_51	11	10	10	10	1.0	0	286.0	302.0	286	286	0	0.0	301	302	1	0.0
orthogroup_51	12	10	10	10	1.0	0	310.0	326.0	309	313	4	0.5	324	326	2	0.0
orthogroup_67	1	10	10	10	1.0	0	5.0	22.0	5	5	0	0.0	19	22	3	0.0
orthogroup_67	2	10	10	10	1.0	0	42.0	66.0	41	43	2	0.0	63	70	7	0.0
orthogroup_67	3	10	10	10	1.0	0	82.0	104.0	82	82	0	0.0	102	105	3	1.0
orthogroup_67	4	10	10	10	1.0	0	115.0	132.0	112	115	3	0.0	132	133	1	0.0
orthogroup_109	1	10	10	10	1.0	0	18.0	34.0	18	18	0	0.0	31	34	3	0.0
orthogroup_109	2	10	10	10	1.0	0	68.0	85.0	68	71	3	0.0	85	85	0	0.0
orthogroup_109	3	10	10	10	1.0	0	114.0	129.0	113	114	1	0.0	127	130	3	0.0
orthogroup_109	4	10	10	10	1.0	0	154.0	170.0	151	154	3	0.0	170	171	1	0.0
orthogroup_109	5	10	10	10	1.0	0	183.0	193.0	183	184	1	0.0	192	193	1	0.0
orthogroup_109	6	10	10	10	1.0	0	219.0	234.5	219	222	3	0.0	233	235	2	0.5
orthogroup_109	7	10	10	10	1.0	0	278.0	294.0	277	278	1	0.0	294	294	0	0.0
orthogroup_109	8	10	10	10	1.0	0	318.0	334.0	318	318	0	0.0	334	335	1	0.0
orthogroup_109	9	10	10	10	1.0	0	374.5	393.5	374	376	2	0.5	393	394	1	0.5
orthogroup_109	10	10	10	10	1.0	0	401.5	415.0	401	405	4	0.5	414	419	5	0.5
orthogroup_124	1	10	10	10	1.0	0	9.0	29.0	9	9	0	0.0	26	29	3	0.0
orthogroup_124	2	10	10	10	1.0	0	52.0	75.0	51	52	1	0.0	74	76	2	1.0
orthogroup_124	3	10	10	10	1.0	0	88.5	108.5	88	89	1	0.5	105	109	4	0.5
orthogroup_124	4	10	10	10	1.0	0	120.0	139.0	120	120	0	0.0	138	140	2	0.0
orthogroup_124	5	10	10	10	1.0	0	148.0	168.0	148	149	1	0.0	166	168	2	0.0
orthogroup_124	6	10	10	10	1.0	0	176.0	194.5	176	177	1	0.0	194	195	1	0.5
orthogroup_126	1	10	10	10	1.0	0	16.0	34.0	16	20	4	0.0	34	34	0	0.0
orthogroup_126	2	10	10	10	1.0	0	44.0	61.0	44	44	0	0.0	61	61	0	0.0
orthogroup_126	3	10	10	10	1.0	0	66.0	90.0	66	66	0	0.0	86	90	4	0.0
orthogroup_136	1	10	10	10	1.0	0	18.0	32.0	17	19	2	0.0	30	32	2	0.0
orthogroup_136	2	10	10	10	1.0	0	78.0	92.0	78	78	0	0.0	92	95	3	0.0
orthogroup_136	3	10	10	10	1.0	0	101.0	118.0	101	102	1	0.0	118	119	1	0.0
orthogroup_136	4	10	10	10	1.0	0	131.0	145.0	130	131	1	0.0	143	145	2	0.0
orthogroup_136	5	10	10	10	1.0	0	162.0	174.5	160	163	3	0.5	174	175	1	0.5
